node_id,forecast,unit_value,dept_id,store_id,allocated_quantity,expected_fill_rate,stockout_risk,pro_rata_quantity,supply,week_start,safety_stock,order_up_to
department:dept_id=FOODS_1|store_id=CA_1,2328.5618028771437,2.5706258537474125,FOODS_1,CA_1,2046.0029791914417,0.8463890793971843,0.92,2095.7056225894294,111444.7007420589,2016-05-23,519.163154255975,2847.7249571331186
department:dept_id=FOODS_1|store_id=CA_2,3282.6650534168557,2.810691295629543,FOODS_1,CA_2,3060.9783329009497,0.8893563127080599,0.84,2954.3985480751703,111444.7007420589,2016-05-23,802.2492209284984,4084.914274345354
department:dept_id=FOODS_1|store_id=CA_3,3036.9687578601233,2.7467465152255968,FOODS_1,CA_3,2781.11140708553,0.8785434711254104,0.88,2733.271882074111,111444.7007420589,2016-05-23,691.1263644619844,3728.0951223221077
department:dept_id=FOODS_1|store_id=CA_4,1786.8007902080021,2.633695971408827,FOODS_1,CA_4,1574.1272834007111,0.8492320640162077,0.92,1608.120711187202,111444.7007420589,2016-05-23,390.7584522774181,2177.5592424854203
department:dept_id=FOODS_2|store_id=CA_1,3654.4295853385156,3.6199698289582054,FOODS_2,CA_1,3620.3416379538694,0.9325704829201641,0.64,3288.986626804664,111444.7007420589,2016-05-23,891.9909545345499,4546.4205398730655
department:dept_id=FOODS_2|store_id=CA_2,3449.30403288293,3.465275390492752,FOODS_2,CA_2,3385.962869017956,0.9247640215351637,0.68,3104.3736295946374,111444.7007420589,2016-05-23,868.928833049196,4318.2328659321265
department:dept_id=FOODS_2|store_id=CA_3,4573.1309496572885,3.7187470258530038,FOODS_2,CA_3,4529.413715013024,0.9309562832049693,0.64,4115.81785469156,111444.7007420589,2016-05-23,1143.9638010446074,5717.0947507018955
department:dept_id=FOODS_2|store_id=CA_4,2579.8431352448374,3.5647154706617745,FOODS_2,CA_4,2534.224770555225,0.9274548525245785,0.68,2321.8588217203537,111444.7007420589,2016-05-23,625.8033477227782,3205.6464829676156
department:dept_id=FOODS_3|store_id=CA_1,14891.182760661042,2.545081438356303,FOODS_3,CA_1,11589.090433124467,0.7487617541409685,0.96,13402.064484594937,111444.7007420589,2016-05-23,3764.5816748426187,18655.76443550366
department:dept_id=FOODS_3|store_id=CA_2,13055.23146414667,2.568804344372957,FOODS_3,CA_2,11253.028142046333,0.8260292166945865,0.92,11749.708317732004,111444.7007420589,2016-05-23,3311.3018702008135,16366.533334347483
department:dept_id=FOODS_3|store_id=CA_3,18711.062727980538,2.518477254891566,FOODS_3,CA_3,14197.450990347043,0.7311363886253455,0.96,16839.956455182484,111444.7007420589,2016-05-23,4679.959154105923,23391.02188208646
department:dept_id=FOODS_3|store_id=CA_4,8030.088912682832,2.6280913234732766,FOODS_3,CA_4,6978.422434228454,0.8346372417051645,0.92,7227.080021414549,111444.7007420589,2016-05-23,1932.293173710846,9962.382086393678
department:dept_id=HOBBIES_1|store_id=CA_1,3428.9896043811555,4.572499605208758,HOBBIES_1,CA_1,3505.5810062637374,0.9516505571335645,0.52,3086.09064394304,111444.7007420589,2016-05-23,827.1103058545258,4256.099910235681
department:dept_id=HOBBIES_1|store_id=CA_2,2735.6104245871757,3.974509257635721,HOBBIES_1,CA_2,2737.7649614862794,0.941515410723127,0.6,2462.049382128458,111444.7007420589,2016-05-23,637.4523732812371,3373.062797868413
department:dept_id=HOBBIES_1|store_id=CA_3,3620.0209552495207,4.576931386702792,HOBBIES_1,CA_3,3699.518056754261,0.9524363622176094,0.52,3258.0188597245688,111444.7007420589,2016-05-23,858.4889468525012,4478.509902102021
department:dept_id=HOBBIES_1|store_id=CA_4,2540.577224664307,3.865856865360439,HOBBIES_1,CA_4,2542.6055693952744,0.9407417578615349,0.6,2286.519502197876,111444.7007420589,2016-05-23,600.1165090862778,3140.6937337505847
department:dept_id=HOBBIES_2|store_id=CA_1,316.3756302648663,2.0527239116715292,HOBBIES_2,CA_1,0.0,0.0,1.0,284.73806723837964,111444.7007420589,2016-05-23,71.13278391646283,387.5084141813291
department:dept_id=HOBBIES_2|store_id=CA_2,324.5910225163096,2.134527533699427,HOBBIES_2,CA_2,0.0,0.0,1.0,292.1319202646786,111444.7007420589,2016-05-23,76.35272701481021,400.9437495311198
department:dept_id=HOBBIES_2|store_id=CA_3,464.59473804192794,1.9851515183197053,HOBBIES_2,CA_3,0.0,0.0,1.0,418.13526423773516,111444.7007420589,2016-05-23,106.02087818394853,570.6156162258765
department:dept_id=HOBBIES_2|store_id=CA_4,152.42761540028062,2.30958880988979,HOBBIES_2,CA_4,0.0,0.0,1.0,137.18485386025256,111444.7007420589,2016-05-23,30.818308123011462,183.24592352329208
department:dept_id=HOUSEHOLD_1|store_id=CA_1,5465.282656062589,4.065018150422,HOUSEHOLD_1,CA_1,5469.591829538655,0.9414527212381142,0.6,4918.75439045633,111444.7007420589,2016-05-23,1274.9342377664198,6740.216893829009
department:dept_id=HOUSEHOLD_1|store_id=CA_2,5608.870092086856,4.259037491194621,HOUSEHOLD_1,CA_2,5685.783958013989,0.946196982432912,0.56,5047.9830828781705,111444.7007420589,2016-05-23,1371.2820010562555,6980.152093143111
department:dept_id=HOUSEHOLD_1|store_id=CA_3,9554.181893209954,4.259307405358324,HOUSEHOLD_1,CA_3,9685.303344415983,0.9461550341994602,0.56,8598.763703888959,111444.7007420589,2016-05-23,2337.738245553106,11891.92013876306
department:dept_id=HOUSEHOLD_1|store_id=CA_4,2913.898908245056,4.189506543706264,HOUSEHOLD_1,CA_4,2952.1771948685623,0.948381380936676,0.56,2622.5090174205507,111444.7007420589,2016-05-23,682.4559505020175,3596.3548587470736
department:dept_id=HOUSEHOLD_2|store_id=CA_1,1615.1996495352685,5.008867731623736,HOUSEHOLD_2,CA_1,1670.4293289480768,0.9594204787917759,0.48,1453.6796845817416,111444.7007420589,2016-05-23,377.39893689012223,1992.5985864253907
department:dept_id=HOUSEHOLD_2|store_id=CA_2,2203.968012195534,5.2180829110011215,HOUSEHOLD_2,CA_2,2301.600262280834,0.9614561315734023,0.44,1983.5712109759806,111444.7007420589,2016-05-23,539.7185234059644,2743.6865356014982
department:dept_id=HOUSEHOLD_2|store_id=CA_3,2443.9432222487367,5.098350063487729,HOUSEHOLD_2,CA_3,2547.667818631912,0.9630164912205095,0.44,2199.548900023863,111444.7007420589,2016-05-23,573.397478311686,3017.3407005604226
department:dept_id=HOUSEHOLD_2|store_id=CA_4,1059.6436473080369,4.911636887343375,HOUSEHOLD_2,CA_4,1096.5224165963425,0.9587225050965886,0.48,953.6792825772332,111444.7007420589,2016-05-23,252.00233771400283,1311.6459850220397
